Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Defect,DEIPCNBS20-926,1392863,ordering issue in new a2s,MI200,zhegao,,,,,Closed,zhegao
Defect,DEIPCNBS20-925,1392403,unitID in SDP vwire,MI200,lweng,,,,,Implemented,lweng
Defect,DEIPCNBS20-922,1388993,[Mi200][timeout]DUT updates NBIF_SHUB_TODET_CLIENT_STATUS incorrectly,MI200,bibliu1,22/Nov/19 12:00 AM,,,,Opened,bibliu1
Defect,DEIPCNBS20-920,1388955,[MI200] RAS common issue,MI200,jianw,,,,,Implemented,alzhu
Defect,DEIPCNBS20-918,1387023,[MI200]Monitor queue is NOT empty in bif_client_scoreboard_base.svh,MI200,jyang4,,MI200_NBIO_SS,,,Opened,jyang4
Defect,DEIPCNBS20-914,1384265,"SRIOV enabled, host path traffic can't be routed to proper syshub client",MI200,dongyu,,,,,Closed,sbing
Defect,DEIPCNBS20-911,1380778,MI200-hdp_err response implement,MI200,xiaojwan,01/Dec/19 12:00 AM,,,,Closed,xiaojwan
Task,DEIPCNBS20-905,1376989,[mi200] pool credits support,MI200,elyang,,,,,Closed,elyang
Defect,DEIPCNBS20-904,1376975,lut for athub dma on VCs other than VC0/1,MI200,wangr1,,,,,Closed,wangr1
Task,DEIPCNBS20-894,1370330,[mi200] LSBm nbif rsmu issue,MI200,elyang,,,,,Closed,elyang
Documentation,DEIPCNBS20-888,1367317,mi200 smn vwr requirement summary,MI200,tingxie2,,,,,Closed,tingxie2
Defect,DEIPCNBS20-884,1366016,unexpected WrRsp from NBIF for poisoned IOWr - PCIe compliance based on GEN4 0.9 test spec,MI200,wluke,,,,,Implemented,mqasim
Defect,DEIPCNBS20-882,1365563,RTL detect and log 2 kinds of error for a single TLP,MI200,qingli1,,,,,Closed,yangz
Defect,DEIPCNBS20-877,1360795,AWID and BID mismatch when sending transactions from PCIe to Syshub client.,MI200,suvasude,,MI200_NBIO_RTL,MI200_NBIO_SS,,Closed,suvasude
Tracking,DEIPCNBS20-873,1359435,nbif2_0_mi200/NBIF_mi200_release@3850927  RSMU_VF_ENABLE_NBIF_NV10_GPU  program issue,MI200,wluke,,,,,Rejected,wluke
Defect,DEIPCNBS20-868,1352788,[MI200]Cfg trans is predicted as unsupported request in BIF module ovc.,MI200,yangz,,,,,Closed,jyang4
Enhancement,DEIPCNBS20-867,1352327,SDP port disconnect hysteresis,Floyd,magchan,,,,,Closed,magchan
Enhancement,DEIPCNBS20-865,1349985,IBM addressing support (programmable PA bits above 48b gfx PA),MI200,siluo,,ICT::CIP::CRB::pending,,,Opened,liwei
Defect,DEIPCNBS20-859,1343033,[MI200] HDP address range change to [43:2],MI200,pfli,,,,,Closed,shawhan
Enhancement,DEIPCNBS20-858,1342311,Add back register for no-reg type strap ,Floyd,siluo,,,,,Closed,siluo
Task,DEIPCNBS20-850,1327620,[mi200] nbif register ral flow,MI200,elyang,,IP_NBIO_INTEGRATION,,,Closed,elyang
Task,DEIPCNBS20-848,1326633,[mi200]nbif_sdp_uvc_credit_checker.svh: related credit checker UVM_ERROR,MI200,elyang,,IP_NBIO_INTEGRATION,,,Closed,elyang
